"date","price"
13-Oct-22,80.40
14-Oct-22,80.70
17-Oct-22,81.00
18-Oct-22,81.00
19-Oct-22,80.75
20-Oct-22,80.67
21-Oct-22,80.90
25-Oct-22,81.20
26-Oct-22,81.25
27-Oct-22,82.00
28-Oct-22,82.50
31-Oct-22,84.75
01-Nov-22,85.00
02-Nov-22,84.60
03-Nov-22,84.50
04-Nov-22,85.00
07-Nov-22,85.00
08-Nov-22,86.50
09-Nov-22,87.10
10-Nov-22,88.20
11-Nov-22,88.20
14-Nov-22,87.90
15-Nov-22,88.50
16-Nov-22,88.17
17-Nov-22,88.25
18-Nov-22,88.40
21-Nov-22,88.15
22-Nov-22,88.00
23-Nov-22,88.00
24-Nov-22,87.85
25-Nov-22,86.50
28-Nov-22,86.20
29-Nov-22,86.20
30-Nov-22,84.15
01-Dec-22,83.50
02-Dec-22,82.45
05-Dec-22,81.00
06-Dec-22,81.00
07-Dec-22,82.00
08-Dec-22,82.50
09-Dec-22,82.50
12-Dec-22,83.25
13-Dec-22,83.37
14-Dec-22,83.00
15-Dec-22,83.50
16-Dec-22,75.00
19-Dec-22,77.50
20-Dec-22,77.17
21-Dec-22,77.00
22-Dec-22,76.50
23-Dec-22,76.00
24-Jan-23,73.00
25-Jan-23,72.72
26-Jan-23,72.50
27-Jan-23,72.50
30-Jan-23,72.30
31-Jan-23,72.65
01-Feb-23,72.00
02-Feb-23,72.00
03-Feb-23,72.40
07-Feb-23,72.50
08-Feb-23,72.50
09-Feb-23,72.25
10-Feb-23,72.10
13-Feb-23,72.30
14-Feb-23,71.95
15-Feb-23,71.90
16-Feb-23,71.80
17-Feb-23,71.80
20-Feb-23,70.05
21-Feb-23,69.92
22-Feb-23,69.00
23-Feb-23,68.50
24-Feb-23,67.00
27-Feb-23,68.00
28-Feb-23,67.50
01-Mar-23,67.00
02-Mar-23,67.00
03-Mar-23,67.00
06-Mar-23,66.90
07-Mar-23,66.00
08-Mar-23,65.75
09-Mar-23,67.00
10-Mar-23,66.25
13-Mar-23,66.00
14-Mar-23,65.50
15-Mar-23,65.25
16-Mar-23,68.00
17-Mar-23,66.75
20-Mar-23,66.00
21-Mar-23,65.75
22-Mar-23,65.00
23-Mar-23,65.00
24-Mar-23,64.45
